cve,epss,Date
CVE-2025-52544,0.00087,2025-10-31
CVE-2025-54914,0.00179,2025-10-31
CVE-2025-55243,0.00105,2025-10-31
CVE-2025-57147,0.00041,2025-10-31
CVE-2025-8422,0.00083,2025-10-31
CVE-2025-20339,0.00032,2025-11-01
CVE-2025-34185,0.00336,2025-11-01
CVE-2025-37125,0.00045,2025-11-01
CVE-2025-41243,0.10243,2025-11-01
CVE-2025-42944,0.00047,2025-11-01
CVE-2025-52544,0.00087,2025-11-01
CVE-2025-54914,0.00179,2025-11-01
CVE-2025-55243,0.00105,2025-11-01
CVE-2025-57147,0.00041,2025-11-01
CVE-2025-8422,0.00083,2025-11-01
CVE-2025-20339,0.00032,2025-11-02
CVE-2025-34185,0.00336,2025-11-02
CVE-2025-37125,0.00045,2025-11-02
CVE-2025-41243,0.10243,2025-11-02
CVE-2025-42944,0.00047,2025-11-02
CVE-2025-52544,0.00087,2025-11-02
CVE-2025-54914,0.00179,2025-11-02
CVE-2025-55243,0.00105,2025-11-02
CVE-2025-57147,0.00041,2025-11-02
CVE-2025-8422,0.00083,2025-11-02
CVE-2025-20339,0.00032,2025-11-03
CVE-2025-34185,0.00336,2025-11-03
CVE-2025-37125,0.00045,2025-11-03
CVE-2025-41243,0.10243,2025-11-03
CVE-2025-42944,0.00047,2025-11-03
CVE-2025-52544,0.00087,2025-11-03
CVE-2025-54914,0.00179,2025-11-03
CVE-2025-55243,0.00105,2025-11-03
CVE-2025-57147,0.00041,2025-11-03
CVE-2025-8422,0.00083,2025-11-03
CVE-2025-20339,0.00032,2025-11-04
CVE-2025-34185,0.00336,2025-11-04
CVE-2025-37125,0.00045,2025-11-04
CVE-2025-41243,0.10243,2025-11-04
CVE-2025-42944,0.00047,2025-11-04
CVE-2025-52544,0.00087,2025-11-04
CVE-2025-54914,0.00179,2025-11-04
CVE-2025-55243,0.00105,2025-11-04
CVE-2025-57147,0.00041,2025-11-04
CVE-2025-8422,0.00083,2025-11-04
CVE-2025-20339,0.00032,2025-11-05
CVE-2025-34185,0.00336,2025-11-05
CVE-2025-37125,0.00045,2025-11-05
CVE-2025-41243,0.10243,2025-11-05
CVE-2025-42944,0.0002,2025-11-05
CVE-2025-52544,0.00087,2025-11-05
CVE-2025-54914,0.00179,2025-11-05
CVE-2025-55243,0.00105,2025-11-05
CVE-2025-57147,0.00041,2025-11-05
CVE-2025-8422,0.00083,2025-11-05
CVE-2025-20339,0.00032,2025-11-06
CVE-2025-34185,0.00336,2025-11-06
CVE-2025-37125,0.00045,2025-11-06
CVE-2025-41243,0.10243,2025-11-06
CVE-2025-42944,0.0002,2025-11-06
CVE-2025-52544,0.00087,2025-11-06
CVE-2025-54914,0.00179,2025-11-06
CVE-2025-55243,0.00105,2025-11-06
CVE-2025-57147,0.00041,2025-11-06
CVE-2025-8422,0.00083,2025-11-06
CVE-2025-20339,0.00032,2025-11-07
CVE-2025-34185,0.00336,2025-11-07
CVE-2025-37125,0.00045,2025-11-07
CVE-2025-41243,0.10243,2025-11-07
CVE-2025-42944,0.0002,2025-11-07
CVE-2025-52544,0.00087,2025-11-07
CVE-2025-54914,0.00179,2025-11-07
CVE-2025-55243,0.00105,2025-11-07
CVE-2025-57147,0.00041,2025-11-07
CVE-2025-8422,0.00083,2025-11-07
CVE-2025-20339,0.00032,2025-11-09
CVE-2025-34185,0.00336,2025-11-09
CVE-2025-37125,0.00045,2025-11-09
CVE-2025-41243,0.10243,2025-11-09
CVE-2025-42944,0.0002,2025-11-09
CVE-2025-52544,0.00102,2025-11-09
CVE-2025-54914,0.00179,2025-11-09
CVE-2025-55243,0.00105,2025-11-09
CVE-2025-57147,0.00041,2025-11-09
CVE-2025-8422,0.00083,2025-11-09
CVE-2025-20339,0.00032,2025-11-10
CVE-2025-34185,0.00336,2025-11-10
CVE-2025-37125,0.00045,2025-11-10
